Time,SL1_CVC1_DVH3_MT040.iRunningF,SL1_SOL_010.oRawOutput,SL1_SOL_011.oRawOutput,SL1_CVC1_DVH3.qRestraintEngaged,SL1_PIT_005.qInput,SL1_PIT_006.qInput,SL1_PIT_007.qInput
12-Jan-26 20:57:00,0,0,0,1,6.355382919,0.726329446,42.87451553
12-Jan-26 20:57:01,0,0,0,1,6.355382919,0.726329446,42.87451553
12-Jan-26 20:57:02,0,0,0,1,6.394293308,0.259403378,37.20006561
12-Jan-26 20:57:03,0,0,0,1,6.394293308,0.259403378,37.20006561
12-Jan-26 20:57:04,0,0,0,1,6.887159824,0,31.19325638
12-Jan-26 20:57:05,0,0,0,1,6.887159824,0,31.19325638
12-Jan-26 20:57:06,0,0,0,1,6.887159824,0,22.43839264
12-Jan-26 20:57:07,0,0,0,1,6.887159824,0,22.43839264
12-Jan-26 20:57:08,0,0,0,1,6.887159824,1.27107656,10.90304852
12-Jan-26 20:57:09,0,0,0,1,6.887159824,1.27107656,10.90304852
12-Jan-26 20:57:10,0,0,0,1,6.887159824,0.155642033,4.750324249
12-Jan-26 20:57:11,0,0,0,1,6.887159824,0.155642033,4.750324249
12-Jan-26 20:57:12,0,0,0,1,6.887159824,0.492866427,4.839494228
12-Jan-26 20:57:13,0,0,0,1,6.887159824,0.492866427,4.839494228
12-Jan-26 20:57:14,0,0,0,1,6.887159824,0,3.283073902
12-Jan-26 20:57:15,0,0,0,1,6.887159824,0,3.283073902
12-Jan-26 20:57:16,0,0,0,1,7.003891468,1.128404737,2.204928637
12-Jan-26 20:57:17,0,0,0,1,7.003891468,1.128404737,2.204928637
12-Jan-26 20:57:18,0,0,0,1,6.31647253,0.42801559,1.750972748
12-Jan-26 20:57:19,0,0,0,1,6.31647253,0.42801559,1.750972748
12-Jan-26 20:57:20,0,0,0,1,6.653696537,0.103761353,1.142996192
12-Jan-26 20:57:21,0,0,0,1,6.653696537,0.103761353,1.142996192
12-Jan-26 20:57:22,0,0,0,1,6.97795105,0.012970169,1.710440993
12-Jan-26 20:57:23,0,0,0,1,6.97795105,0.012970169,1.710440993
12-Jan-26 20:57:24,0,0,0,1,6.97795105,0.246433213,1.87256813
12-Jan-26 20:57:25,0,0,0,1,6.97795105,0.246433213,1.87256813
12-Jan-26 20:57:26,0,0,0,1,6.97795105,0.246433213,1.605058432
12-Jan-26 20:57:27,0,0,0,1,6.97795105,0.246433213,1.605058432
12-Jan-26 20:57:28,0,0,0,1,6.731517792,0.946822345,1.87256813
12-Jan-26 20:57:29,0,0,0,1,6.731517792,0.946822345,1.87256813
12-Jan-26 20:57:30,0,0,0,1,6.381323338,0,1.572633028
12-Jan-26 20:57:31,0,0,0,1,6.381323338,0,1.572633028
12-Jan-26 20:57:32,0,0,0,1,6.887159824,1.439688802,1.313229561
12-Jan-26 20:57:33,0,0,0,1,6.887159824,1.439688802,1.313229561
12-Jan-26 20:57:34,0,0,0,1,6.887159824,0.298313886,1.86446178
12-Jan-26 20:57:35,0,0,0,1,6.887159824,0.298313886,1.86446178
12-Jan-26 20:57:36,0,0,0,1,6.887159824,0,1.126783371
12-Jan-26 20:57:37,0,0,0,1,6.887159824,0,1.126783371
12-Jan-26 20:57:38,0,0,0,1,6.887159824,0.700389147,1.30512321
12-Jan-26 20:57:39,0,0,0,1,6.887159824,0.700389147,1.30512321
12-Jan-26 20:57:40,0,0,0,1,6.887159824,0.946822345,1.386186838
12-Jan-26 20:57:41,0,0,0,1,6.887159824,0.946822345,1.386186838
12-Jan-26 20:57:42,0,0,0,1,6.887159824,0.583657622,1.499675751
12-Jan-26 20:57:43,0,0,0,1,6.887159824,0.583657622,1.499675751
12-Jan-26 20:57:44,0,0,0,1,6.887159824,0,1.337548614
12-Jan-26 20:57:45,0,0,0,1,6.887159824,0,1.337548614
12-Jan-26 20:57:46,0,0,0,1,6.887159824,0,1.580739379
12-Jan-26 20:57:47,0,0,0,1,6.887159824,0,1.580739379
12-Jan-26 20:57:48,0,0,0,1,6.887159824,0.933852196,1.378080487
12-Jan-26 20:57:49,0,0,0,1,6.887159824,0.933852196,1.378080487
12-Jan-26 20:57:50,0,0,0,1,6.887159824,0.337224394,1.483463049
12-Jan-26 20:57:51,0,0,0,1,6.887159824,0.337224394,1.483463049
12-Jan-26 20:57:52,0,0,0,1,6.887159824,0.661478639,1.151102543
12-Jan-26 20:57:53,0,0,0,1,6.887159824,0.661478639,1.151102543
12-Jan-26 20:57:54,0,0,0,1,6.887159824,1.05058372,1.207846999
12-Jan-26 20:57:55,0,0,0,1,6.887159824,1.05058372,1.207846999
